code_system,source_code,ucum,low,high,basis
SOURCE,220045,/min,0,300,"chartevents 220045 Heart Rate. A charted 0 is asystole during a cardiac arrest and is kept; no human heart contracts above 300 times a minute, so a higher number is a monitor artefact rather than a pulse."
SOURCE,220210,/min,0,100,chartevents 220210 Respiratory Rate. A charted 0 is apnoea or a disconnected ventilator circuit and is kept; above 100 breaths a minute the trace is counting something other than breaths.
SOURCE,224690,/min,0,100,chartevents 224690 Respiratory Rate (Total). A charted 0 is apnoea or a disconnected ventilator circuit and is kept; above 100 breaths a minute the trace is counting something other than breaths.
SOURCE,220277,%,0,100,"chartevents 220277 O2 saturation pulseoxymetry. An oxygen saturation is a percentage of haemoglobin binding sites: above 100 is arithmetically impossible, whatever the probe reported."
SOURCE,223761,Cel,12,46,chartevents 223761 Temperature Fahrenheit. The survivable range of a human core temperature. The lowest recorded survival from accidental hypothermia is 13.7 C and the highest from hyperthermia 46.5 C; outside that the reading is of something other than the patient.
SOURCE,223761,[degF],53.6,114.8,"chartevents 223761 Temperature Fahrenheit. The same bound in degrees Fahrenheit, which is the unit MIMIC-IV states it in, so the check applies whether or not the value has been converted to Celsius."
SOURCE,223762,Cel,12,46,chartevents 223762 Temperature Celsius. The survivable range of a human core temperature. The lowest recorded survival from accidental hypothermia is 13.7 C and the highest from hyperthermia 46.5 C; outside that the reading is of something other than the patient.
SOURCE,220050,mm[Hg],0,300,chartevents 220050 Arterial Blood Pressure systolic. A charted 0 is an arrest or a transducer off the patient and is kept; a systolic pressure above 300 mmHg is beyond what an artery sustains and beyond what the cuff can report.
SOURCE,220051,mm[Hg],0,250,chartevents 220051 Arterial Blood Pressure diastolic. A charted 0 is an arrest or a transducer off the patient and is kept; a diastolic pressure above 250 mmHg is beyond what an artery sustains.
SOURCE,220052,mm[Hg],0,250,chartevents 220052 Arterial Blood Pressure mean. A charted 0 is an arrest or a transducer off the patient and is kept; a mean arterial pressure above 250 mmHg is beyond what an artery sustains.
SOURCE,220179,mm[Hg],0,300,chartevents 220179 Non Invasive Blood Pressure systolic. A charted 0 is an arrest or a transducer off the patient and is kept; a systolic pressure above 300 mmHg is beyond what an artery sustains and beyond what the cuff can report.
SOURCE,220180,mm[Hg],0,250,chartevents 220180 Non Invasive Blood Pressure diastolic. A charted 0 is an arrest or a transducer off the patient and is kept; a diastolic pressure above 250 mmHg is beyond what an artery sustains.
SOURCE,220181,mm[Hg],0,250,chartevents 220181 Non Invasive Blood Pressure mean. A charted 0 is an arrest or a transducer off the patient and is kept; a mean arterial pressure above 250 mmHg is beyond what an artery sustains.
SOURCE,224639,kg,0.2,700,chartevents 224639 Daily Weight. From the smallest liveborn infant recorded (about 250 g) to beyond the heaviest human ever weighed (635 kg).
SOURCE,226512,kg,0.2,700,chartevents 226512 Admission Weight (Kg). From the smallest liveborn infant recorded (about 250 g) to beyond the heaviest human ever weighed (635 kg).
SOURCE,226531,kg,0.2,700,chartevents 226531 Admission Weight (lbs.). From the smallest liveborn infant recorded (about 250 g) to beyond the heaviest human ever weighed (635 kg).
SOURCE,226531,[lb_av],0.5,1550,"chartevents 226531 Admission Weight (lbs.). The same bound in pounds, which is the unit some of these items are stated in, so the check applies whether or not the value has been converted to kilograms."
SOURCE,226730,cm,20,280,chartevents 226730 Height (cm). From a premature infant's crown-heel length to beyond the tallest human ever measured (272 cm).
SOURCE,226707,cm,20,280,"chartevents 226707 Height, stated in inches. From a premature infant's crown-heel length to beyond the tallest human ever measured (272 cm)."
SOURCE,226707,[in_i],8,110,"chartevents 226707 Height, stated in inches. The same bound in inches, the unit some of these items are stated in, so the check applies whether or not the value has been converted to centimetres."
SOURCE,220739,,1,4,"The eye opening component of the Glasgow Coma Scale runs from 1 to 4 by definition. MIMIC-IV charts it as text ('To Speech'), so this bound bites only on a release that charts the number; it is written because a scale with a defined range is exactly the case a plausibility table exists for."
SOURCE,223900,,1,5,"The verbal response component of the Glasgow Coma Scale runs from 1 to 5 by definition. MIMIC-IV charts it as text ('To Speech'), so this bound bites only on a release that charts the number; it is written because a scale with a defined range is exactly the case a plausibility table exists for."
SOURCE,223901,,1,6,"The motor response component of the Glasgow Coma Scale runs from 1 to 6 by definition. MIMIC-IV charts it as text ('To Speech'), so this bound bites only on a release that charts the number; it is written because a scale with a defined range is exactly the case a plausibility table exists for."
SOURCE,ED_HEARTRATE,/min,0,300,"mimic-iv-ed vitalsign and triage heartrate. A charted 0 is asystole during a cardiac arrest and is kept; no human heart contracts above 300 times a minute, so a higher number is a monitor artefact rather than a pulse."
SOURCE,ED_RESPRATE,/min,0,100,mimic-iv-ed vitalsign and triage resprate. A charted 0 is apnoea or a disconnected ventilator circuit and is kept; above 100 breaths a minute the trace is counting something other than breaths.
SOURCE,ED_O2SAT,%,0,100,"mimic-iv-ed vitalsign and triage o2sat. An oxygen saturation is a percentage of haemoglobin binding sites: above 100 is arithmetically impossible, whatever the probe reported."
SOURCE,ED_SBP,mm[Hg],0,300,mimic-iv-ed vitalsign and triage sbp. A charted 0 is an arrest or a transducer off the patient and is kept; a systolic pressure above 300 mmHg is beyond what an artery sustains and beyond what the cuff can report.
SOURCE,ED_DBP,mm[Hg],0,250,mimic-iv-ed vitalsign and triage dbp. A charted 0 is an arrest or a transducer off the patient and is kept; a diastolic pressure above 250 mmHg is beyond what an artery sustains.
SOURCE,ED_TEMPERATURE,Cel,12,46,mimic-iv-ed vitalsign and triage temperature. The survivable range of a human core temperature. The lowest recorded survival from accidental hypothermia is 13.7 C and the highest from hyperthermia 46.5 C; outside that the reading is of something other than the patient.
SOURCE,ED_TEMPERATURE,[degF],53.6,114.8,"mimic-iv-ed vitalsign and triage temperature. The same bound in degrees Fahrenheit, which is the unit MIMIC-IV states it in, so the check applies whether or not the value has been converted to Celsius."
SOURCE,ED_ACUITY,,1,5,The Emergency Severity Index runs from 1 (most acute) to 5 by definition; mimic-iv-ed records no other value.
SOURCE,Weight (Lbs),kg,0.2,700,omr Weight (Lbs). From the smallest liveborn infant recorded (about 250 g) to beyond the heaviest human ever weighed (635 kg).
SOURCE,Weight (Lbs),[lb_av],0.5,1550,"omr Weight (Lbs). The same bound in pounds, which is the unit some of these items are stated in, so the check applies whether or not the value has been converted to kilograms."
SOURCE,Weight,kg,0.2,700,omr Weight. From the smallest liveborn infant recorded (about 250 g) to beyond the heaviest human ever weighed (635 kg).
SOURCE,Weight,[lb_av],0.5,1550,"omr Weight. The same bound in pounds, which is the unit some of these items are stated in, so the check applies whether or not the value has been converted to kilograms."
SOURCE,Height (Inches),cm,20,280,omr Height (Inches). From a premature infant's crown-heel length to beyond the tallest human ever measured (272 cm).
SOURCE,Height (Inches),[in_i],8,110,"omr Height (Inches). The same bound in inches, the unit some of these items are stated in, so the check applies whether or not the value has been converted to centimetres."
SOURCE,Height,cm,20,280,omr Height. From a premature infant's crown-heel length to beyond the tallest human ever measured (272 cm).
SOURCE,Height,[in_i],8,110,"omr Height. The same bound in inches, the unit some of these items are stated in, so the check applies whether or not the value has been converted to centimetres."
SOURCE,BMI (kg/m2),kg/m2,5,200,omr BMI (kg/m2). A body mass index below 5 is below the lowest recorded survival from starvation and above 200 is beyond the heaviest human ever weighed at any height.
SOURCE,BMI,kg/m2,5,200,omr BMI. A body mass index below 5 is below the lowest recorded survival from starvation and above 200 is beyond the heaviest human ever weighed at any height.
SOURCE,eGFR,mL/min/1.73.m2,0,250,"omr eGFR. An estimated glomerular filtration rate cannot be negative, and the estimating equations are not defined above about 250 mL/min/1.73m2 even in hyperfiltration."
