source_unit,ucum,basis
millimeter mercury column,mm[Hg],"CU-CTPA flowsheets.unit on every blood-pressure row (446,518 rows, 2026-03 extract); the spelling is the OMOP name of UCUM mm[Hg] (concept 8876)"
counts per minute,/min,"CU-CTPA flowsheets.unit on Pulse and Resp (255,405 rows); the spelling is the OMOP name of UCUM {counts}/min (8483), mapped to the dimensionally identical /min (8541) so heart and respiratory rates carry the same normalized unit as bpm in the other datasets; the source spelling stays in unit_source"
percent,%,"CU-CTPA flowsheets.unit on SpO2 rows (127,721 rows); the OMOP name of UCUM % (8554)"
degree Celsius,Cel,"CU-CTPA flowsheets.unit on every temperature row (127,703 rows); the OMOP name of UCUM Cel (586323). For Temp and Core (Body) Temperature the yaml overrides it with [degF] (D-R1); Temp (in Celsius) keeps it"
Units/kg/hr,[U]/kg/h,"CU-CTPA medications.dose_unit (418,259 rows; heparin infusions): unit per kilogram per hour. Valid UCUM; the OMOP vocabulary carries no concept for it, so unit_concept_id stays 0"
Units/hr,[U]/h,"CU-CTPA medications.dose_unit (48,934 rows): unit per hour, OMOP concept 8630"
Units/kg,[U]/kg,"CU-CTPA medications.dose_unit (6,526 rows): unit per kilogram. Valid UCUM; no OMOP concept"
Units/mL,[U]/mL,"CU-CTPA medications.dose_unit (44 rows): unit per millilitre, OMOP concept 8763"
mg/kg,mg/kg,"CU-CTPA medications.dose_unit (43,341 rows; weight-based doses); OMOP concept 9562"
mg/kg/hr,mg/kg/h,"CU-CTPA medications.dose_unit (10,725 rows); OMOP concept 9691"
mcg/kg/min,ug/kg/min,"CU-CTPA medications.dose_unit (5,408 rows; vasopressor infusions); OMOP concept 9688"
mL/hr,mL/h,"CU-CTPA medications.dose_unit (338 rows; infusion rates written as the dose); OMOP concept 44777613"
mg/hr,mg/h,"CU-CTPA medications.dose_unit (10 rows); OMOP concept 44777610"
mg/kg/min,mg/kg/min,"CU-CTPA medications.dose_unit (8 rows); OMOP concept 9692"
mcg/kg,ug/kg,"CU-CTPA medications.dose_unit (4 rows); OMOP concept 9662"
mg/mL,mg/mL,"CU-CTPA medications.dose_unit (3 rows; a concentration written as the dose); OMOP concept 8861"
mg/day,mg/d,"CU-CTPA medications.dose_unit (1 row); UCUM mg/d, OMOP concept 8700 (marked invalid in the vocabulary)"
each,{each},"CU-CTPA medications.dose_unit (20,882 rows) and quantity_unit (274): a counted item; a UCUM annotation, no OMOP concept"
tablet,{tbl},"CU-CTPA medications.dose_unit (1,013 rows) and quantity_unit (237,591); OMOP concept 9431 tablet"
Tablet 12 Hour Sustained Release,{tbl},"CU-CTPA medications.dose_unit (1 row): a tablet counted as the dose; the release form belongs to the product, not the unit"
capsule,{capsule},"CU-CTPA medications.dose_unit (74 rows) and quantity_unit (6,492); a UCUM annotation, no OMOP concept"
caplet,{caplet},"CU-CTPA medications.dose_unit (1 row); a UCUM annotation, no OMOP concept"
dose,{dose},"CU-CTPA medications.dose_unit ('Dose' 30 rows, 'dose' 2 rows, matched case-insensitively); UCUM {dose}, OMOP concept 8513 (deprecated)"
Syringe,{syringe},"CU-CTPA medications.dose_unit (8 rows) and quantity_unit (1,932); a UCUM annotation, no OMOP concept"
kit,{kit},"CU-CTPA medications.dose_unit (2 rows) and quantity_unit (6); a UCUM annotation, no OMOP concept"
applicator,{applicator},"CU-CTPA medications.dose_unit (1 row); a UCUM annotation, no OMOP concept"
Tablespoon,[tbs_us],"CU-CTPA medications.dose_unit (1 row); OMOP concept 9412"
vial,{vial},"CU-CTPA medications.quantity_unit (37 rows; a kept column, listed for completeness); a UCUM annotation, no OMOP concept"
Bottle,{bottle},"CU-CTPA medications.quantity_unit (2 rows; kept column); a UCUM annotation, no OMOP concept"
Cartridge,{cartridge},"CU-CTPA medications.quantity_unit (2 rows; kept column); a UCUM annotation, no OMOP concept"
*Unspecified,,"placeholder, not a unit: CU-CTPA medications.dose_unit 428,344 rows and quantity_unit 41,226 rows; left unmapped on purpose so the dose stays a bare number and the event is flagged UNIT_UNKNOWN"
*Not Applicable,,"placeholder, not a unit: CU-CTPA medications.quantity_unit 1,081,075 rows (kept column)"
Unspecified,,"placeholder, not a unit: CU-CTPA medications.quantity_unit 1 row (kept column)"
